pay_run_id,employee_id,pay_date,gross_pay,federal_tax_withheld,state_tax_withheld,social_security_withheld,medicare_withheld,futa_withheld,suta_withheld,k401_contribution,garnishment_deduction,net_pay,journal_posted,is_injected_error,error_type
PR000031,EMP0002,2026-06-15,5790.33,868.55,0.0,359.0,83.96,0.0,0.0,0.0,0.0,4478.82,True,False,none
PR000032,EMP0002,2026-06-30,5820.38,873.06,0.0,360.86,84.4,0.0,0.0,0.0,0.0,4502.06,True,False,none
PR000033,EMP0002,2026-07-15,5885.09,882.76,0.0,364.88,85.33,0.0,0.0,0.0,0.0,4552.12,True,False,none
PR000034,EMP0002,2026-07-31,6062.85,909.43,0.0,375.9,87.91,0.0,0.0,0.0,0.0,4689.61,True,False,none
PR000035,EMP0002,2026-08-15,5796.3,869.45,0.0,359.37,84.05,0.0,0.0,0.0,0.0,4483.43,True,False,none
PR000036,EMP0002,2026-08-31,5796.58,869.49,0.0,359.39,84.05,0.0,0.0,0.0,0.0,4483.65,True,False,none
PR000037,EMP0003,2026-03-31,4918.42,737.76,147.55,304.94,71.32,29.51,132.8,393.47,0.0,3263.38,True,False,none
PR000038,EMP0003,2026-04-15,4809.33,721.4,144.28,298.18,69.74,12.49,110.2,384.75,0.0,3190.98,True,True,wage_base_cap_error
PR000039,EMP0003,2026-04-30,4722.3,708.35,141.67,292.78,68.47,0.0,0.0,377.78,0.0,3133.25,True,False,none
PR000040,EMP0003,2026-05-15,4809.42,721.41,144.28,298.18,69.74,0.0,0.0,384.75,0.0,3191.06,True,False,none
PR000041,EMP0003,2026-05-31,4690.27,703.54,140.71,290.8,68.01,0.0,0.0,375.22,0.0,3111.99,True,False,none
PR000042,EMP0003,2026-06-15,4703.86,705.58,141.12,291.64,68.21,0.0,0.0,376.31,0.0,3121.0,True,False,none
PR000043,EMP0003,2026-06-30,4826.98,724.05,144.81,299.27,69.99,0.0,0.0,386.16,0.0,3202.7,True,False,none
PR000044,EMP0003,2026-07-15,4796.6,719.49,143.9,297.39,69.55,0.0,0.0,383.73,0.0,3182.54,True,False,none
PR000045,EMP0003,2026-07-31,4986.23,747.93,149.59,309.15,72.3,0.0,0.0,398.9,0.0,3308.36,True,True,wage_base_cap_error
PR000046,EMP0003,2026-08-15,4774.98,716.25,143.25,296.05,69.24,0.0,0.0,382.0,0.0,3168.19,True,False,none
PR000047,EMP0003,2026-08-31,4858.42,728.76,145.75,301.22,70.45,0.0,0.0,388.67,0.0,3223.57,True,False,none
PR000048,EMP0004,2026-03-29,974.07,146.11,48.7,60.39,14.12,5.84,26.3,0.0,0.0,704.75,True,False,none
PR000049,EMP0004,2026-04-05,926.79,139.02,46.34,57.46,13.44,5.56,25.02,0.0,0.0,670.53,True,False,none
PR000050,EMP0004,2026-04-12,976.46,146.47,48.82,60.54,14.16,5.86,26.36,0.0,0.0,706.47,True,False,none
PR000051,EMP0004,2026-04-19,939.39,140.91,46.97,58.24,13.62,5.64,25.36,0.0,0.0,679.65,True,False,none
PR000052,EMP0004,2026-04-26,999.17,149.88,49.96,61.95,14.49,6.0,26.98,0.0,0.0,722.89,True,False,none
PR000053,EMP0004,2026-05-03,937.14,140.57,46.86,58.1,13.59,5.62,25.3,0.0,0.0,678.02,True,False,none
PR000054,EMP0004,2026-05-10,957.45,143.62,47.87,59.36,13.88,5.74,25.85,0.0,0.0,692.72,True,False,none
PR000055,EMP0004,2026-05-17,932.31,139.85,46.62,57.8,13.52,1.74,25.17,0.0,0.0,674.52,True,False,none
PR000056,EMP0004,2026-05-24,1001.91,150.29,50.1,62.12,14.53,0.0,27.05,0.0,0.0,724.87,True,False,none
PR000057,EMP0004,2026-05-31,964.14,144.62,48.21,59.78,13.98,0.0,9.59,0.0,0.0,697.55,True,False,none
PR000058,EMP0004,2026-06-07,971.25,145.69,48.56,60.22,14.08,0.0,0.0,0.0,0.0,702.7,True,False,none
PR000059,EMP0004,2026-06-14,930.91,139.64,46.55,57.72,13.5,0.0,0.0,0.0,0.0,673.5,True,False,none
PR000060,EMP0004,2026-06-21,983.05,147.46,49.15,60.95,14.25,0.0,0.0,0.0,0.0,711.24,True,False,none
PR000061,EMP0004,2026-06-28,941.82,141.27,47.09,58.39,13.66,0.0,0.0,0.0,0.0,681.41,True,False,none
PR000062,EMP0004,2026-07-05,994.36,149.15,49.72,61.65,14.42,0.0,0.0,0.0,0.0,719.42,True,False,none
PR000063,EMP0004,2026-07-12,941.46,141.22,47.07,29.18,13.65,0.0,0.0,0.0,0.0,681.15,True,True,tax_miscalculation
PR000064,EMP0004,2026-07-19,940.35,141.05,47.02,58.3,13.64,0.0,0.0,0.0,0.0,680.34,True,False,none
PR000065,EMP0004,2026-07-26,928.58,139.29,46.43,103.63,13.46,0.0,0.0,0.0,0.0,671.83,True,True,tax_miscalculation
PR000066,EMP0004,2026-08-02,961.84,144.28,48.09,59.63,13.95,0.0,0.0,0.0,0.0,695.89,True,False,none
PR000067,EMP0004,2026-08-09,968.92,145.34,48.45,60.07,14.05,0.0,0.0,0.0,0.0,701.01,True,False,none
PR000068,EMP0004,2026-08-16,930.81,139.62,46.54,57.71,13.5,0.0,0.0,0.0,0.0,673.44,True,False,none
PR000069,EMP0004,2026-08-23,985.01,147.75,49.25,61.07,14.28,0.0,0.0,0.0,0.0,712.66,True,False,none
PR000070,EMP0004,2026-08-30,960.4,144.06,48.02,59.54,13.93,0.0,0.0,0.0,0.0,694.85,True,False,none
PR000071,EMP0004,2026-09-06,965.83,144.87,48.29,59.88,14.0,0.0,0.0,0.0,0.0,698.79,True,False,none
PR000072,EMP0004,2026-09-13,959.45,143.92,47.97,59.49,13.91,0.0,0.0,0.0,0.0,694.16,True,False,none
PR000073,EMP0005,2026-04-05,1912.68,286.9,95.63,118.59,27.73,11.48,51.64,0.0,439.91,943.92,True,False,none
PR000074,EMP0005,2026-04-19,1875.19,281.28,93.76,116.26,27.19,11.25,50.63,0.0,277.55,1079.15,True,False,none
PR000075,EMP0005,2026-05-03,1983.08,297.46,99.15,122.95,28.75,11.9,53.54,0.0,622.45,812.32,True,False,none
PR000076,EMP0005,2026-05-17,1908.49,286.27,95.42,118.33,27.67,7.37,51.53,0.0,319.27,1061.53,True,False,none
PR000077,EMP0005,2026-05-31,1949.82,292.47,97.49,120.89,28.27,0.0,35.66,0.0,384.59,1026.11,True,False,none
PR000078,EMP0005,2026-06-14,1855.36,278.3,92.77,115.03,26.9,0.0,0.0,0.0,264.24,1078.12,True,False,none
PR000079,EMP0005,2026-06-28,1960.81,294.12,98.04,121.57,28.43,0.0,0.0,0.0,493.23,925.42,True,False,none
PR000080,EMP0005,2026-07-12,1855.62,278.34,92.78,115.05,26.91,0.0,0.0,0.0,290.78,1051.76,True,False,none
PR000081,EMP0005,2026-07-26,1886.77,283.02,94.34,116.98,27.36,0.0,0.0,0.0,479.91,885.16,True,False,none
PR000082,EMP0005,2026-08-09,1854.49,278.17,92.72,114.98,26.89,0.0,0.0,0.0,243.17,1098.56,True,False,none
PR000083,EMP0005,2026-08-23,1973.63,296.04,98.68,122.37,28.62,0.0,0.0,0.0,290.67,1137.25,True,False,none
PR000084,EMP0005,2026-09-06,1951.16,292.67,97.56,120.97,28.29,0.0,0.0,0.0,312.62,1099.05,True,False,none
PR000085,EMP0006,2026-03-29,725.26,108.79,0.0,44.97,10.52,4.35,19.58,77.6,0.0,483.38,True,False,none
PR000086,EMP0006,2026-04-05,733.78,110.07,0.0,45.49,10.64,4.4,19.81,78.51,0.0,489.07,True,False,none
PR000087,EMP0006,2026-04-12,762.21,114.33,0.0,47.26,11.05,4.57,20.58,81.56,0.0,508.01,True,False,none
PR000088,EMP0006,2026-04-19,770.12,115.52,0.0,85.95,11.17,4.62,20.79,82.4,0.0,513.28,True,True,tax_miscalculation
PR000089,EMP0006,2026-04-26,768.61,115.29,0.0,47.65,11.14,4.61,20.75,82.24,0.0,512.29,True,False,none
PR000090,EMP0006,2026-05-03,742.92,111.44,0.0,46.06,10.77,4.46,20.06,79.49,0.0,495.16,True,False,none
PR000091,EMP0006,2026-05-10,758.99,113.85,0.0,47.06,11.01,4.55,20.49,81.21,0.0,505.86,False,True,late_journal_posting
PR000092,EMP0006,2026-05-17,731.52,109.73,0.0,45.35,10.61,4.39,19.75,78.27,0.0,487.56,True,False,none
PR000093,EMP0006,2026-05-24,736.75,110.51,0.0,45.68,10.68,4.42,19.89,78.83,0.0,491.05,True,False,none
PR000094,EMP0006,2026-05-31,772.53,115.88,0.0,47.9,11.2,1.62,20.86,82.66,0.0,514.89,True,False,none
PR000095,EMP0006,2026-06-07,720.13,108.02,0.0,44.65,10.44,0.0,19.44,77.05,0.0,479.97,True,False,none
PR000096,EMP0006,2026-06-14,724.43,108.66,0.0,44.91,10.5,0.0,19.56,77.51,0.0,482.85,True,False,none
PR000097,EMP0006,2026-06-21,731.69,109.75,0.0,45.36,10.61,0.0,1.42,78.29,0.0,487.68,True,False,none
PR000098,EMP0006,2026-06-28,720.93,108.14,0.0,44.7,10.45,0.0,0.0,77.14,0.0,480.5,True,False,none
PR000099,EMP0006,2026-07-05,730.12,109.52,0.0,45.27,10.59,0.0,0.0,78.12,0.0,486.62,True,False,none
PR000100,EMP0006,2026-07-12,753.95,113.09,0.0,46.74,10.93,0.0,0.0,80.67,0.0,502.52,True,False,none
PR000101,EMP0006,2026-07-19,744.36,111.65,0.0,46.15,10.79,0.0,0.0,79.65,0.0,496.12,True,False,none
PR000102,EMP0006,2026-07-26,772.32,115.85,0.0,47.88,11.2,0.0,0.0,82.64,0.0,514.75,True,False,none
PR000103,EMP0006,2026-08-02,767.85,115.18,0.0,47.61,11.13,0.0,0.0,82.16,0.0,511.77,True,False,none
PR000104,EMP0006,2026-08-09,739.64,110.95,0.0,45.86,10.72,0.0,0.0,79.14,0.0,492.97,True,False,none
PR000105,EMP0006,2026-08-16,734.75,110.21,0.0,45.55,10.65,0.0,0.0,78.62,0.0,489.72,True,False,none
PR000106,EMP0006,2026-08-23,741.88,111.28,0.0,46.0,10.76,0.0,0.0,79.38,0.0,494.46,True,False,none
PR000107,EMP0006,2026-08-30,754.38,113.16,0.0,46.77,10.94,0.0,0.0,80.72,0.0,502.79,True,False,none
PR000108,EMP0006,2026-09-06,735.26,110.29,0.0,45.59,10.66,0.0,0.0,78.67,0.0,490.05,True,True,wage_base_cap_error
PR000109,EMP0006,2026-09-13,756.39,113.46,0.0,46.9,10.97,0.0,0.0,80.93,0.0,504.13,True,False,none
PR000110,EMP0007,2026-03-29,1926.94,289.04,96.35,119.47,27.94,11.56,52.03,175.35,0.0,1218.79,True,False,none
PR000111,EMP0007,2026-04-05,1948.87,292.33,97.44,120.83,28.26,11.69,52.62,177.35,0.0,1232.66,True,False,none
PR000112,EMP0007,2026-04-12,1931.05,289.66,96.55,119.73,28.0,11.59,52.14,175.73,0.0,1221.38,True,False,none
PR000113,EMP0007,2026-04-19,1909.27,286.39,95.46,118.37,27.68,7.16,51.55,173.74,0.0,1207.63,True,False,none
PR000114,EMP0007,2026-04-26,2009.81,301.47,100.49,124.61,29.14,0.0,34.66,182.89,0.0,1271.21,True,False,none
PR000115,EMP0007,2026-05-03,1981.4,297.21,99.07,122.85,28.73,0.0,0.0,180.31,0.0,1253.23,True,False,none
PR000116,EMP0007,2026-05-10,1885.54,282.83,94.28,116.9,27.34,0.0,0.0,171.58,0.0,1192.61,True,True,wage_base_cap_error
PR000117,EMP0007,2026-05-17,1997.52,299.63,99.88,123.85,28.96,0.0,0.0,181.77,0.0,1263.43,True,False,none
PR000118,EMP0007,2026-05-24,1938.94,290.84,96.95,120.21,28.11,0.0,0.0,176.44,0.0,1226.39,True,False,none
PR000119,EMP0007,2026-05-31,2001.53,300.23,100.08,124.09,29.02,0.0,0.0,182.14,0.0,1265.97,True,False,none
PR000120,EMP0007,2026-06-07,1986.97,298.05,99.35,123.19,28.81,0.0,0.0,180.81,0.0,1256.76,True,False,none
PR000121,EMP0007,2026-06-14,1929.37,289.41,96.47,119.62,27.98,0.0,0.0,175.57,0.0,1220.32,True,False,none
PR000122,EMP0007,2026-06-21,1867.46,280.12,93.37,115.78,27.08,0.0,0.0,169.94,0.0,1181.17,True,False,none
PR000123,EMP0007,2026-06-28,1905.31,285.8,95.27,118.13,27.63,0.0,0.0,173.38,0.0,1205.1,True,False,none
PR000124,EMP0007,2026-07-05,1947.27,292.09,97.36,120.73,28.24,0.0,0.0,177.2,0.0,1231.65,True,False,none
PR000125,EMP0007,2026-07-12,1961.39,294.21,98.07,121.61,28.44,0.0,0.0,178.49,0.0,1240.57,True,True,wage_base_cap_error
PR000126,EMP0007,2026-07-19,1903.65,285.55,95.18,212.45,27.6,0.0,0.0,173.23,0.0,1204.06,True,True,tax_miscalculation
PR000127,EMP0007,2026-07-26,1885.43,282.81,94.27,116.9,27.34,0.0,0.0,171.57,0.0,1192.54,True,False,none
PR000128,EMP0007,2026-08-02,1992.36,298.85,99.62,123.53,28.89,0.0,0.0,181.3,0.0,1260.17,True,False,none
PR000129,EMP0007,2026-08-09,2015.34,302.3,100.77,124.95,29.22,0.0,0.0,183.4,0.0,1274.7,True,False,none
PR000130,EMP0007,2026-08-16,1944.82,291.72,97.24,120.58,28.2,0.0,0.0,176.98,0.0,1230.1,True,False,none
PR000131,EMP0007,2026-08-23,1890.4,283.56,94.52,117.2,27.41,0.0,0.0,172.03,0.0,1195.68,True,True,wage_base_cap_error
PR000132,EMP0007,2026-08-30,1905.87,285.88,95.29,118.16,27.64,0.0,0.0,173.43,0.0,1205.47,True,False,none
PR000133,EMP0007,2026-09-06,1866.83,280.02,93.34,115.74,27.07,0.0,0.0,169.88,0.0,1180.78,True,False,none
PR000134,EMP0007,2026-09-13,2004.56,300.68,100.23,124.28,29.07,0.0,0.0,182.41,0.0,1267.89,True,False,none
PR000135,EMP0008,2026-03-29,646.53,96.98,32.33,40.08,9.37,3.88,17.46,75.64,0.0,392.13,True,False,none
PR000136,EMP0008,2026-04-05,670.76,100.61,33.54,41.59,9.73,4.02,18.11,78.48,0.0,406.81,True,False,none
PR000137,EMP0008,2026-04-12,654.79,98.22,32.74,40.6,9.49,3.93,17.68,76.61,0.0,397.13,True,False,none
PR000138,EMP0008,2026-04-19,669.58,100.44,33.48,41.51,9.71,4.02,18.08,78.34,0.0,406.1,True,False,none
PR000139,EMP0008,2026-04-26,674.71,101.21,33.74,41.83,9.78,4.05,18.22,78.94,0.0,409.21,True,False,none
PR000140,EMP0008,2026-05-03,684.13,102.62,34.21,42.42,9.92,4.1,18.47,80.04,0.0,414.92,True,False,none
PR000141,EMP0008,2026-05-10,651.21,97.68,32.56,40.38,9.44,3.91,17.58,76.19,0.0,394.96,True,False,none
PR000142,EMP0008,2026-05-17,640.89,96.13,32.04,39.74,9.29,3.85,17.3,74.98,0.0,388.71,True,False,none
PR000143,EMP0008,2026-05-24,647.54,97.13,32.38,40.15,9.39,3.89,17.48,75.76,0.0,392.73,True,False,none
PR000144,EMP0008,2026-05-31,687.84,103.18,34.39,42.65,9.97,4.13,18.57,80.48,0.0,417.17,True,False,none
PR000145,EMP0008,2026-06-07,686.46,102.97,34.32,42.56,9.95,2.23,18.53,80.32,0.0,416.34,True,False,none
PR000146,EMP0008,2026-06-14,671.86,100.78,33.59,41.66,9.74,0.0,18.14,78.61,0.0,407.48,True,False,none
PR000147,EMP0008,2026-06-21,672.03,100.8,33.6,41.67,9.74,0.0,18.14,78.63,0.0,407.59,True,False,none
PR000148,EMP0008,2026-06-28,675.43,101.31,33.77,41.88,9.79,0.0,9.23,79.03,0.0,409.65,True,False,none
PR000149,EMP0008,2026-07-05,649.57,97.44,32.48,40.27,9.42,0.0,0.0,76.0,0.0,393.96,True,False,none
PR000150,EMP0008,2026-07-12,688.6,103.29,34.43,42.69,9.98,0.0,0.0,80.57,0.0,417.64,True,False,none
PR000151,EMP0008,2026-07-19,662.43,99.36,33.12,41.07,9.61,0.0,0.0,77.5,0.0,401.77,True,False,none
PR000152,EMP0008,2026-07-26,660.55,99.08,33.03,40.95,9.58,0.0,0.0,77.28,0.0,400.63,True,False,none
PR000153,EMP0008,2026-08-02,667.72,100.16,33.39,41.4,9.68,0.0,0.0,0.0,0.0,404.97,True,True,missing_401k
PR000154,EMP0008,2026-08-09,642.79,96.42,32.14,39.85,9.32,0.0,0.0,75.21,0.0,389.85,True,False,none
PR000155,EMP0008,2026-08-16,649.09,97.36,32.45,40.24,9.41,0.0,0.0,75.94,0.0,393.69,True,False,none
PR000156,EMP0008,2026-08-23,679.29,101.89,33.96,42.12,9.85,0.0,0.0,79.48,0.0,411.99,True,False,none
PR000157,EMP0008,2026-08-30,644.69,96.7,32.23,39.97,9.35,0.0,0.0,75.43,0.0,391.01,True,False,none
PR000158,EMP0008,2026-09-06,672.16,100.82,33.61,41.67,9.75,0.0,0.0,78.64,0.0,407.67,True,False,none
PR000159,EMP0008,2026-09-13,653.27,97.99,32.66,40.5,9.47,0.0,0.0,76.43,0.0,396.22,True,False,none
PR000160,EMP0009,2026-03-31,5258.76,788.81,210.35,326.04,76.25,31.55,141.99,0.0,0.0,3857.31,True,False,none
PR000161,EMP0009,2026-04-15,5216.48,782.47,208.66,323.42,75.64,10.45,101.01,0.0,0.0,3826.29,True,False,none
PR000162,EMP0009,2026-04-30,5244.63,786.69,209.79,325.17,76.05,0.0,0.0,0.0,0.0,3846.93,True,False,none
PR000163,EMP0009,2026-05-15,5397.33,809.6,215.89,334.63,78.26,0.0,0.0,0.0,0.0,3958.95,True,False,none
PR000164,EMP0009,2026-05-31,5220.02,783.0,208.8,323.64,75.69,0.0,0.0,0.0,0.0,3828.89,True,False,none
PR000165,EMP0009,2026-06-15,5333.18,799.98,213.33,330.66,77.33,0.0,0.0,0.0,0.0,3911.88,True,False,none
PR000166,EMP0009,2026-06-30,5295.21,794.28,211.81,328.3,76.78,0.0,0.0,0.0,0.0,3884.04,True,False,none
PR000167,EMP0009,2026-07-15,5374.06,806.11,214.96,333.19,77.92,0.0,0.0,0.0,0.0,4226.09,True,True,net_pay_mismatch
PR000168,EMP0009,2026-07-31,5403.01,810.45,216.12,334.99,78.34,0.0,0.0,0.0,0.0,3963.11,True,False,none
PR000169,EMP0009,2026-08-15,5185.49,777.82,207.42,321.5,75.19,0.0,0.0,0.0,0.0,3803.56,True,False,none
PR000170,EMP0009,2026-08-31,5108.27,766.24,449.53,316.71,74.07,0.0,0.0,0.0,0.0,3746.92,True,True,tax_miscalculation
PR000171,EMP0010,2026-03-29,1067.1,160.06,53.35,66.16,15.47,6.4,28.81,40.55,0.0,731.51,False,True,late_journal_posting
PR000172,EMP0010,2026-04-05,1095.77,164.37,54.79,67.94,15.89,6.57,29.59,41.64,0.0,751.14,True,False,none
PR000173,EMP0010,2026-04-12,1048.94,157.34,52.45,65.03,15.21,6.29,28.32,39.86,0.0,719.05,True,False,none
PR000174,EMP0010,2026-04-19,1087.27,163.09,54.36,67.41,15.77,6.52,29.36,41.32,0.0,745.32,True,False,none
PR000175,EMP0010,2026-04-26,1095.92,164.39,54.8,67.95,15.89,6.58,29.59,41.64,0.0,751.25,True,False,none
PR000176,EMP0010,2026-05-03,1073.3,160.99,53.66,66.54,15.56,6.44,28.98,40.79,0.0,735.76,True,False,none
PR000177,EMP0010,2026-05-10,1110.92,166.64,55.55,68.88,16.11,3.19,29.99,42.21,0.0,761.53,True,False,none
PR000178,EMP0010,2026-05-17,1053.69,158.05,52.68,65.33,15.28,0.0,28.45,40.04,0.0,722.31,True,False,none
PR000179,EMP0010,2026-05-24,1050.98,157.65,52.55,65.16,15.24,0.0,9.91,39.94,0.0,720.44,True,False,none
PR000180,EMP0010,2026-05-31,1107.24,166.09,55.36,68.65,16.05,0.0,0.0,42.08,0.0,759.01,True,False,none
PR000181,EMP0010,2026-06-07,1087.19,163.08,54.36,67.41,15.76,0.0,0.0,41.31,0.0,745.27,True,False,none
PR000182,EMP0010,2026-06-14,1103.81,165.57,55.19,68.44,16.01,0.0,0.0,0.0,0.0,756.66,True,True,missing_401k
PR000183,EMP0010,2026-06-21,1081.97,162.3,54.1,67.08,15.69,0.0,0.0,41.11,0.0,741.69,True,False,none
PR000184,EMP0010,2026-06-28,1065.74,159.86,53.29,66.08,15.45,0.0,0.0,40.5,0.0,730.56,True,False,none
PR000185,EMP0010,2026-07-05,1115.07,167.26,55.75,69.13,16.17,0.0,0.0,42.37,0.0,764.39,True,False,none
PR000186,EMP0010,2026-07-12,1113.38,167.01,55.67,69.03,16.14,0.0,0.0,42.31,0.0,763.22,True,False,none
PR000187,EMP0010,2026-07-19,1104.35,165.65,55.22,68.47,16.01,0.0,0.0,41.97,0.0,757.03,True,False,none
PR000188,EMP0010,2026-07-26,1067.95,160.19,53.4,66.21,15.49,0.0,0.0,40.58,0.0,732.08,True,False,none
PR000189,EMP0010,2026-08-02,1095.35,164.3,54.77,67.91,15.88,0.0,0.0,41.62,0.0,750.87,True,False,none
PR000190,EMP0010,2026-08-09,1075.61,161.34,53.78,66.69,15.6,0.0,0.0,40.87,0.0,737.33,True,False,none
PR000191,EMP0010,2026-08-16,1052.4,157.86,52.62,65.25,15.26,0.0,0.0,39.99,0.0,721.42,True,False,none
PR000192,EMP0010,2026-08-23,1123.53,168.53,56.18,69.66,16.29,0.0,0.0,42.69,0.0,770.18,True,False,none
PR000193,EMP0010,2026-08-30,1056.3,158.44,52.81,65.49,15.32,0.0,0.0,40.14,0.0,724.1,True,False,none
PR000194,EMP0010,2026-09-06,1126.37,168.96,56.32,69.83,16.33,0.0,0.0,42.8,0.0,772.13,True,False,none
PR000195,EMP0010,2026-09-13,1082.93,162.44,54.15,67.14,15.7,0.0,0.0,41.15,0.0,742.35,True,False,none
PR000196,EMP0011,2026-03-29,998.54,149.78,39.94,61.91,14.48,5.99,26.96,49.93,0.0,682.5,True,False,none
PR000197,EMP0011,2026-04-05,1027.47,154.12,41.1,63.7,14.9,6.16,27.74,51.37,0.0,702.28,True,False,none
PR000198,EMP0011,2026-04-12,1054.33,158.15,42.17,65.37,15.29,6.33,28.47,52.72,0.0,720.63,True,False,none
PR000199,EMP0011,2026-04-19,1042.91,156.44,41.72,64.66,15.12,6.26,28.16,52.15,0.0,712.82,True,False,none
PR000200,EMP0011,2026-04-26,1048.94,157.34,41.96,65.03,15.21,6.29,28.32,52.45,0.0,716.95,True,False,none
PR000201,EMP0011,2026-05-03,1036.96,155.54,41.48,64.29,15.04,6.22,28.0,51.85,0.0,708.76,True,False,none
PR000202,EMP0011,2026-05-10,1039.67,155.95,41.59,64.46,15.08,4.75,28.07,51.98,0.0,710.61,True,False,none
PR000203,EMP0011,2026-05-17,1052.4,157.86,42.1,65.25,15.26,0.0,28.41,52.62,0.0,719.31,True,False,none
PR000204,EMP0011,2026-05-24,1003.77,150.57,40.15,62.23,14.55,0.0,18.87,50.19,0.0,686.08,True,False,none
PR000205,EMP0011,2026-05-31,1023.22,153.48,40.93,63.44,14.84,0.0,0.0,51.16,0.0,699.37,True,False,none
PR000206,EMP0011,2026-06-07,1001.46,150.22,40.06,62.09,14.52,0.0,0.0,50.07,0.0,684.5,True,False,none
PR000207,EMP0011,2026-06-14,1063.63,159.54,42.55,65.95,15.42,0.0,0.0,53.18,0.0,726.99,True,False,none
PR000208,EMP0011,2026-06-21,1060.1,159.01,42.4,65.73,15.37,0.0,0.0,53.0,0.0,724.59,True,False,none
PR000209,EMP0011,2026-06-28,986.72,148.01,39.47,61.18,14.31,0.0,0.0,49.34,0.0,674.41,True,False,none
PR000210,EMP0011,2026-07-05,1040.75,156.11,41.63,64.53,15.09,0.0,0.0,52.04,0.0,711.35,True,False,none
